1410987090, 295.9
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410992864, 294.5
1410998520, 291.07
1410998520, 291.07
1411004324, 288.43
1411004324, 288.43
1411309967, 292.44
1411309967, 292.44
1411319949, 298.25, 800
1411319949, 298.25
1411319949, 298.25, 800
1411319949, 298.25, 800
1411326634, 300.68, 800
1411326634, 300.68, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411326634, 81.554, 800
1411348749, 72.158, 803
1411348749, 72.158, 803
[Time Stamp 09/21/14 21:50:51] 1411348749, 72.158, 803
1411348749, 72.158, 803
09/21/14 22:10:011411348749, 72.158, 803
1411348749, 72.158, 803
09/22/14 21:29:04 1411435424, 58.208, 800
09/22/14 21:29:47 9 1411435424, 58.208, 800
1411435424, 58.208, 800
09/22/14 21:30:39 9 231 23 1411435424, 58.208, 800
1411435424, 58.208, 800
09/22/14 21:42:25 9 23 1 23 1411435424, 58.208, 800
1411435424, 58.208, 800
09/22/14 21:54:19 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:54:31 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:54:43 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:54:56 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:55:08 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:55:20 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:55:32 9 23 1 23 1411435424, 58.208, 800
09/22/14 21:55:44 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:04:17 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:04:29 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:04:41 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:04:53 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:05:05 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:05:18 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:05:30 9 23 1 23 1411435424, 58.208, 800
09/22/14 22:05:42 9 23 1 23 1411435424, 58.208, 800
